案件管理番号,システム名,対応内容,工数（人月）
2025062700005,Cafe_M00875,内部マスタへのレコード追加に伴う対応,0.90
2025072900007,OLS_M00494,連携されたPayPay利用額に応じて、プラン選択画面でシミュレーション結果や最適な訴求バナーを出し分ける機能を実装する。,9.38
2025072900007,OLS_M00494,機種変更時における契約区分画面でのPayPay利用額に関するヒアリング設問を削除する。,0.72
2025072900007,Kiwi_M00672,Similis新規連携のための利用,0.50
2025072900007,Similis_M00817,ユーザーのPayPay利用額データを抽出し、APIを通じてOLS_M00494へ連携する処理を追加する。,3.45
2025072900007,DWH_M00853,オンライン申込情報マートに「ペイトク訴求パターン」の項目を新設し、各ユーザーへの訴求ログを出力する。,2.20
2025072900007,Cafe_M00875,既存APIの改修対応、新規ロジック（カウント機能）の追加,2.80
2025092400001,CASIS_M00125,IDPWリカバリ最終画面において、既存のボタンを「ログイン画面へ」等の遷移先を変更したボタンに差し替える処理。,1.00
2025092400001,CASIS_M00125,リカバリ完了後の遷移先として、セルフケア認証画面ではなくOLS認証画面をURLに設定し、情報の引き継ぎを可能にする処理。,1.00
2025112500008,OLS_M00494,配送希望日設定画面において、付属品項目の追加およびCSVによる一括登録・ダウンロード機能を実装する,1.30
2025112500008,OLS_M00494,アクセサリ購入制限設定において、個数制限商品グループへの追加・削除をCSV一括アップロードで行う機能を追加する,0.30
2025112500008,OLS_M00494,アクセサリ購入制限設定において、SB契約日数制限グループへの追加・削除を管理画面上から実行可能に改修する,0.30
2025112500008,OLS_M00494,特別配送指定項目において、開始日時と終了日時を指定できる期間設定機能およびCSV一括登録機能を実装する,8.60
2025112500008,OLS_M00494,依頼受付フォームの案件リスト画面において、公開希望日時の表示順を現在の昇順から降順（新規案件を上）に変更する,0.10
2025112500008,OLS_M00494,依頼受付フォームの商品表示において、表示順を現在の色の昇順から商品コードの昇順に変更する,0.10
2025112500008,OLS_M00494,自動予約切替メールの送信先において、在庫部門の宛先を追加できるようメーリングリストの変更設定を行う,8.60
2025112500008,OLS_M00494,臨時メール送信画面において、プルダウン表示名をCSVのダウンロード・修正・アップロードにより更新できる機能を追加する,0.30
2025112500009,OLS_M00494,Watch用の機種情報を出力する機能を開発し、静的ページ連携用の新規JSONファイルを作成する。,2.42
2025112500009,OLS_M00494,既存の在庫情報JSON（stock.json）に対し、「020開始日時」および「020終了日時」の出力項目を追加する。,0.19
