案件管理番号,案件名,システム名,対応内容,合計工数（人月）,工数（人月）
2024091700003,【eSIM受付最適化】受付時間拡張 Ph.2,NFA_M00632,OLSからの非対面申込に対し受付時間判定を0:00～23:15へ拡張し時間外申込を抑止,5.11,5.11
2024091700003,【eSIM受付最適化】受付時間拡張 Ph.2,OLS_M00494,OLS-Care経由でのSIM再発行・eSIM再発行受付時間を0:00～23:15に拡張する処理を追加,8.3,8.3
2024091700003,【eSIM受付最適化】受付時間拡張 Ph.2,Cafe_M00875,回線切替要求を受けCOP・交換機へ連携する際の受付時間制御を0:00～23:15へ拡張,2.3,2.3
2024091700003,【eSIM受付最適化】受付時間拡張 Ph.2,COP_M00365,IVR・切替サイトからの開通要求受付時間を0:00～23:15（eSIMクイック転送0:00～23:30）に変更,60.7,14.08
2024091700003,【eSIM受付最適化】受付時間拡張 Ph.2,COP_M00365,MNPおよび有人オペレーター要件あり申込に対し時間外エラーコードを返却する判定処理を実装,60.7,46.62
2024091700003,【eSIM受付最適化】受付時間拡張 Ph.2,DWH_M00853,本施策に関しデータ抽出機能を追加せず既存抽出定義を維持する設定確認（抽出無設定）,0.9,0.9
2024091900022,【YM】OLSの申込メールアドレスをSBIDメールアドレスへ格納,NFA_M00632,SB・YM・LINEMO-OLSから申込メールアドレスをSBID連携用項目として追加連携する,2.7,2.7
2024101100002,【かんてつ全社施策】おうち割ひかり（ケーブルライン）受付対応,Cafe_M00875,ケーブルライン回線の固定電話番号・申込書管理番号で回線照会し名義情報を返却する,3.35,1.56
2024101100002,【かんてつ全社施策】おうち割ひかり（ケーブルライン）受付対応,Cafe_M00875,ケーブルライン種別を❶ケーブルライン/ひかりdeトークSと➋NURO光でんわで識別し返却する,3.35,1.79
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,E0H（新）累計割賦残債審査に永住者用判断IDとマトリクスを新設し永住者を独立判定,3.9,0.44
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,「国籍自動判定（契約者）」で本人確認書類25・26を永住者として判定するロジックを追加,3.9,0.29
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,審査実施判定で割賦購入フラグ・契約者タイプ・審査対象有無に基づくE0H実施可否ロジックを追加,3.9,0.32
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,代理店グループ・国籍自動判定・確認書類から日本籍・外国籍・永住者マトリクスへ分岐する条件を追加,3.9,0.35
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,サービス提供事業者コード別に残債＋申込総額と利用月数等で永住者用ラダーを設定し判断IDに紐付け,3.9,0.37
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,既存日本籍・外国籍マトリクスの金額閾値（40万・50万等）と利用月数ラダーを2025/02/06版へ修正,3.9,0.29
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,新規・機種変更時に申込情報優先で国籍自動判定を行い未取得時は照会情報を参照するIFを実装,3.9,0.34
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,既存「国籍自動判定（契約者）」を複製した審査要素を新規作成し審査結果応答専用に利用,3.9,0.3
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,A001「申告国籍妥当性審査の結果」VALUE2へ複製版国籍自動判定値を設定するマッピングを追加,3.9,0.24
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,A001「申告国籍妥当性審査の結果」VALUE5へ国籍自動判定結果（契約者）（永住権考慮）を設定,3.9,0.25
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,代理人フラグ付き申込に対し代理人審査マトリックスで審査判定する処理を追加,3.9,0.37
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,審査PF_M00555,契約者属性に基づき代理人申込を審査センターへ遷移させる制御ロジックを追加,3.9,0.34
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,DWH_M00853,汎用審査結果A001のVALUE5として国籍自動判定結果（契約者）（永住権考慮）を新規連携するバッチを改修,1.75,0.58
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,DWH_M00853,d_ccoc否決情報（申込書番号）テーブルに代理人フラグ項目を新設し1/0を格納する処理を追加,1.75,0.58
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,DWH_M00853,b_ccc_申込書契約者汎用（申込書番号）テーブルに代理人フラグ項目を新設し1/0を格納する処理を追加,1.75,0.59
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E32申告国籍妥当性審査で国籍自動判定結果を参照し永住者を日本人扱いしないようロジック追加,4.53,0.21
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E34取次店電話番号使い回し審査で国籍自動判定参照方法を永住権考慮版に合わせるIF変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E40おうち割加入者審査で国籍自動判定参照により永住者の扱いを新マトリクスに合わせて変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E45USIM単体回線数審査で国籍自動判定を参照するロジックを永住権考慮条件に合わせて変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E48外国籍名義審査で国籍自動判定の結果に基づき永住者を適切な属性として判断するよう改修,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E53BIN帯判別審査で国籍自動判定参照項目をICMN005-3006-S5000に統一し永住権判定反映,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E60番号移行審査の国籍自動判定参照項目をS5001として永住者扱いを新ロジックに合わせて変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E61キャリア履歴審査3で国籍自動判定参照により永住者の審査ハードルを制御するロジックに変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E62超短期複数台申込審査で国籍自動判定の結果に応じた永住者の厳格判定を行うよう改修,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E66移動機物販台数審査で国籍自動判定結果を用い永住者を外国籍相当基準で評価するよう変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E67高額事業者交換情報審査で国籍自動判定結果により永住者を高リスクとして扱う判定を追加,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E74バルサンチェックで国籍自動判定結果の参照項目を永住権考慮版に変更し分岐条件を調整,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E75累計割賦残債審査で国籍自動判定結果に応じ日本籍・外国籍・永住者各マトリクスを参照,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E77USIM単体チェックで国籍自動判定参照をS2000に統一し永住者判定を加味するよう変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E78リアルタイム不正住所審査で国籍自動判定結果から永住者含む属性別のチェック強度を制御,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E79移動機割賦台数審査で国籍自動判定結果に基づき永住者の審査基準を外国籍相当に設定,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E82統合累計回線数審査で国籍自動判定結果により永住者の回線数制御ロジックを変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E86契約変更審査で国籍自動判定結果に応じ永住者への審査強度を変更するIFを追加,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E92機種変更審査で国籍自動判定参照を申込情報優先とし永住者判定を反映するロジックに変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E94解約履歴審査で国籍自動判定結果から永住者の解約履歴評価を外国籍相当に扱うよう改修,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E98USIM短期解約審査で国籍自動判定結果に応じ永住者の短期解約リスク判定を強化,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,E99譲渡後機種審査で国籍自動判定結果を参照し永住者名義の譲渡後リスクを高く評価するよう変更,4.53,0.18
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,GINIEで取得した代理人フラグを申込情報として受信し保持する処理を追加,4.53,0.24
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,CCOC_M00321,GINIEで取得した代理人本人確認書類画像を申込単位で格納・連携する処理を追加,4.53,0.3
2024120300001,【審査】（GINIE/審査PF）代理人（機種変更）審査強化,Veritas_M00413,記載なし（要件なしと明記）,0.7,0.7
2024102500004,【審査】（CCOC） B#ホワイトリストの改修,CCOC_M00321,新ホワイトリスト（B#指定）審査ロジックで解約済B#も不問判定可能に変更,2.9,0.96
2024102500004,【審査】（CCOC） B#ホワイトリストの改修,CCOC_M00321,滞納検知B#と現在のカナ氏名一致時に自動滞納不問とする判定条件を追加,2.9,1.2
2024102500004,【審査】（CCOC） B#ホワイトリストの改修,CCOC_M00321,B#のみ一致する解約済回線をカナ氏名確認なしで滞納不問とする処理を追加,2.9,0.74
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Get Ready経由流入のeSIM単体契約を通常受付として処理する画面制御を追加,22.8,1.45
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Appleから連携される業務種別ごとに新規・MNP・機種変更等の申込ページへ自動遷移するロジックを追加,22.8,1.69
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Himalaya経由MNP契約時に増額インセンティブ対象として扱う契約フラグを受付処理に追加,22.8,0.97
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Get Ready目印や業務種別をDWH連携用データに付与し送信する処理を追加,22.8,1.21
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,契約者タイプ・carrierOrderStatus・applicationFlow・cancellationTypeを通知する新API送信機能を追加,22.8,1.93
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Appleからの新設API（業務種別連携）を受信しオーダーナンバーで紐づける受信機能を追加,22.8,1.57
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,API接続レスポンスを簡易に確認できる試験環境向けログ閲覧・返却機能を追加,22.8,0.84
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Apple連携用フロント受付画面で契約者タイプAPIパラメータを受信し選択肢制御を追加,22.8,1.09
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,契約方法選択画面において非活性ボタン押下時の注意喚起ポップアップ表示ロジックを追加,22.8,0.48
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,S-in前申込およびGetReady経由申込の場合に全契約種別選択可能とする受付条件分岐を実装,22.8,1.09
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Appleから連携された受付業務種別が異なる契約種別選択をできないようボタン非活性制御を実装,22.8,0.97
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,OLS管理画面にGetReadyフラグ表示項目を追加し申込区分を識別可能に変更,22.8,0.6
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,OLS管理画面にApple側選択業務種別表示項目を追加し受付内容の確認機能を拡張,22.8,0.72
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,GetReadyフラグ連携時でも仮登録ではなく本登録へ遷移させる受付フローへ変更,22.8,1.09
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Appleからの新設API（carrierOrderStatus等）を受信するインタフェース処理を追加,22.8,1.45
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,既存APIレスポンスの見直しと最適化によりApple接続時の通信パフォーマンスを改善,22.8,1.21
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,APIレスポンスを簡易確認可能な試験用シミュレーター画面・機能を追加実装,22.8,0.97
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,Apple要望TPS50に対応するため受付サーバのスケールアウト設定および負荷分散設定を変更,22.8,1.93
2024102800007,【Apple OLS】FY25商戦対応（Apple試験）　,OLS_M00494,商品発表日6:00〜予約開始日22:00限定でTPS50維持するスケジュール制御ロジックを追加,22.8,1.54
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,Veritas_M00413,G10直投後の全回線データに対し整合性チェックを追加実施し不整合S#を抽出,6.4,1.33
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,Veritas_M00413,過去直投約170万件をバッチ抽出し日次2万件単位で一括整合性チェックを実施,6.4,1.65
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,Veritas_M00413,データシェア有効終了日と無料特典終了日の組み合わせ判定ロジックを新規実装,6.4,1.72
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,Veritas_M00413,日次0.1万件のG10直投データを対象とした自動日次チェックバッチを新設,6.4,1.7
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,COP_M00365,Veritasで抽出された不整合S#を受け取り料金データの修正リカバリ処理を実行,6,2.1
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,COP_M00365,過去分170万件チェック結果に基づく個人契約回線リカバリ処理用のバッチ機能を追加,6,2.3
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,COP_M00365,G10直投日次チェック結果連携インターフェースを実装し不整合案件の自動受信を可能化,6,1.6
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,CCOC_M00321,G10直投対象回線の処理履歴を抽出しVeritasチェック用データファイルを日次出力する機能を追加,9.9,4.29
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,CCOC_M00321,データシェアおよび無料特典の終了日を「9999/12/31」基準で出力するための項目整備を実施,9.9,2.64
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,CCOC_M00321,エラー監視遷移案件についてエラー発生処理ステップと理由を照会画面に表示する機能を追加,9.9,1.65
2024102900025,直投ミスによるデータ不整合のシステムチェック対応,CCOC_M00321,キャンペーン適用履歴照会機能を追加し学割等の重複適用有無を確認可能とする,9.9,1.32
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,料金プラン選択画面におけるデフォルト✓点ロジックを、利用実態・同意取得に基づく表示へ変更,6.5,0.56
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,有料オプション選択画面におけるデフォルト✓点ロジックを、同一名称オプションのみ✓点可とする判定へ変更,6.5,0.61
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,機種変更時に加入中オプションの名称を取得し、同一名称のみ自動✓点を行う判定ロジックを追加,6.5,0.72
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,加入中と同一名称オプションでも料金が変動する場合に、金額差異の注意喚起文言を自動表示する処理を追加,6.5,0.44
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,購入前ヒアリング画面に「お勧めに利用する旨」を明記した設問を追加し、回答内容を判定用に保存する処理を追加,6.5,0.44
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,ヒアリング回答結果に応じて料金プラン・オプションへのデフォルト✓点有無を制御する判定ロジックを追加,6.5,0.78
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,割引・キャンペーン適用条件となるプラン・オプションに「条件である旨」の説明文言を表示する文言管理処理を追加,6.5,0.67
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,割引・キャンペーン適用条件となるプラン・オプションのみ、条件説明付きでデフォルト✓点を許容する表示制御を追加,6.5,0.67
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,無料オプションについては従来通りデフォルト✓点を維持し、有料オプションのみガイドラインロジックを適用する制御を追加,6.5,0.78
2024110800007,【総務省】OLSデフォルトレ点対応,OLS_M00494,プラン選択画面における他利用者の選択状況表示（例：ペイトク無制限選択比率）の文言・表現をガイドライン前提に確認し維持,6.5,0.83
2024112200011,【YM】pSIM/eSIM単体のOLS機種変更受付,CCOC_M00321,YMOLS機種変更受付時の審査指示・結果連携フローを移動機機種変更と同等ロジックで処理するよう変更する,1.7,1.7
2024112200011,【YM】pSIM/eSIM単体のOLS機種変更受付,NFA_M00632,SIM機種変更受付完了時に、既存NFAメールテンプレートを用いてEメール・SMS通知を配信するロジックを追加する,20.2,6
2024112200011,【YM】pSIM/eSIM単体のOLS機種変更受付,NFA_M00632,eSIM単体への機種変更において元プラン情報からeSIM型番IDYAA1/TLYAA1を振り分ける制御ロジックを実装する,20.2,6.38
2024112200011,【YM】pSIM/eSIM単体のOLS機種変更受付,NFA_M00632,受付日数経過に応じてeSIMは6日後強制キャンセル、pSIMは7日後強制切替を実行するバッチ処理を追加する,20.2,7.82
2024112200011,【YM】pSIM/eSIM単体のOLS機種変更受付,CindyM_M00648,SIM機種変更受付完了時および回線切替完了時に統合履歴へ履歴を記録する処理を追加する,0.4,0.4
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,"アクセサリ申込画面で5,500円未満時に送料徴収案内文と金額表示を追加",8.2,0.6
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,アクセサリ確認画面・申込内容明細に送料金額行を追加表示する処理を実装,8.2,0.49
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,端末同時購入時はアクセサリ単体送料を発生させない判定ロジックを申込処理に追加,8.2,0.43
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,"アクセサリ一括購入で5,500円未満の場合のみ送料徴収フラグを立てる料金計算ロジックを追加",8.2,0.47
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,SB回線有無と支払方法に応じ商品代金と配送料を別明細でCCOCへ連携するIF処理を追加,8.2,0.69
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,既存B#ありの場合は配送料を初月通信料に合算し請求情報を生成するロジックを追加,8.2,0.51
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,既存契約なしの場合は商品代金に配送料を合算して請求情報を生成するロジックを追加,8.2,0.43
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,割賦購入時に商品代金は2か月目、配送料は翌月請求となる請求開始月制御ロジックを追加,8.2,0.64
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,一括購入時に出荷完了時点で配送料発生とするトリガー制御ロジックを追加,8.2,0.51
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,申込キャンセル時に送料徴収を行わず送料金額を自動戻入するキャンセル処理を追加,8.2,0.56
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,端末とアクセサリ同時購入時のアクセサリ単独キャンセルでも送料徴収しない判定ロジックを追加,8.2,0.51
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,ユーザー管理画面の伝票詳細に送料金額項目を追加表示するUIと取得処理を実装,8.2,0.48
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,MYSB(WEB)・MYSBアプリ向けに送料料金項目IDを設定し自動表示させる明細連携ロジックを追加,8.2,0.52
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,各種メールテンプレートに送料金額と課金条件を差し込むプレースホルダを追加,8.2,0.37
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,DWH連携用にマートb_ols_オンライン申込情報allの既存項目「送料」に配送料を出力する処理を実装,8.2,0.52
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,OLS_M00494,アクセサリ購入時のSBポイント利用時に商品代金優先充当ルールを設定するロジックを検討（後に一部drop）,8.2,0.47
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,COP_M00365,月次請求書にOLS配送料明細を商品代金と区別して表示するレイアウト制御を追加,0.11,0.11
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,CCOC_M00321,OLSからの配送料単独明細を受信し商品代金と分離して登録するインターフェース処理を追加,2.8,1.52
2024112600012,【OLS】アクセサリ単体購入時の配送料請求対応,CCOC_M00321,商品代金キャンセル時に配送料明細はキャンセル対象外とするキャンセル制御ロジックを追加,2.8,1.28
2024120400013,【かんてつ全社施策】1月分対応案件,Similis_M00817,記載なし,0.25,0.25
2024120600010,【審査】（DWH）キャリア履歴データの自動化について,Kiwi_M00672,ジンテックからのキャリア履歴データを自動ダウンロードするバッチ処理を追加,0.9,0.9
2024120600010,【審査】（DWH）キャリア履歴データの自動化について,DWH_M00853,自動連携で取得したキャリア履歴をテーブル「b_jin_キャリア履歴」にそのまま反映する処理を追加,2.4,0.55
2024120600010,【審査】（DWH）キャリア履歴データの自動化について,DWH_M00853,「b_jin_キャリア履歴」から「d_キャリア履歴」へ既存要件定義通りに加工反映するバッチ処理を自動起動するよう変更,2.4,1.85
2024121800014,GINIE本人確認書類読み込み時の「運転経歴証明書」追加,審査PF_M00555,連携受領する本人確認書類区分に運転経歴証明書を追加し審査用コードを新設する改修,21.85,21.85
2024121800014,GINIE本人確認書類読み込み時の「運転経歴証明書」追加,DWH_M00853,確認書タイプコード29（運転経歴証明書）を新設し対象28マートへ項目連携を行うETL改修,0.3,0.3
2024121800014,GINIE本人確認書類読み込み時の「運転経歴証明書」追加,COP_M00365,本人確認記録として登録する書類区分に運転経歴証明書を追加し記録保持する機能を変更する改修,0.15,0.15
2024121800015,ICチップ情報のGINIE貼り付け(マイナンバーカード),Cafe_M00875,ICチップから取得した住所文字列を受信し、住所マスタとバイグラム比較して類似度の高い郵便番号候補を算出する処理を追加,1.45,0.27
2024121800015,ICチップ情報のGINIE貼り付け(マイナンバーカード),Cafe_M00875,住所マスタの都道府県・市区町村・町域・丁目を連結したテキストとICチップ住所をバイグラム方式で比較するロジックを追加,1.45,0.32
2024121800015,ICチップ情報のGINIE貼り付け(マイナンバーカード),Cafe_M00875,検索結果から一致率上位5件の候補を抽出し、同一郵便番号でもまとめず個別候補としてGINIEへ返却する機能を追加,1.45,0.26
2024121800015,ICチップ情報のGINIE貼り付け(マイナンバーカード),Cafe_M00875,ビル名を含む住所も検索対象とし、一致率低下を許容したうえで候補算出する方針に基づくマッチングロジックを実装,1.45,0.32
2024121800015,ICチップ情報のGINIE貼り付け(マイナンバーカード),Cafe_M00875,GINIEからの住所検索リクエストを受け付け、優先順位第1位〜第5位の郵便番号候補と住所情報を返却するAPIインターフェースを新規実装,1.45,0.28
2025010700001,【かんてつ全社施策】2月分対応案件,Similis_M00817,記載なし,0.23,0.23
2025010700013,【OLS】Marsの店舗営業時間マスタ仕様変更,MARS_M00306,店舗営業時間マスタ（店舗系）画面で受付終了時間（時）項目を必須入力に変更する対応,0.3,0.1
2025010700013,【OLS】Marsの店舗営業時間マスタ仕様変更,MARS_M00306,店舗営業時間マスタ（店舗系）画面で受付終了時間（分）項目を必須入力に変更する対応,0.3,0.1
2025010700013,【OLS】Marsの店舗営業時間マスタ仕様変更,MARS_M00306,GEN_SHOP_SALES_TIME_MSTで受付終了時間が空欄の既存レコードを削除するバッチ処理を実施,0.3,0.1
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,SCMOne_M00403,証明書マスタに資格確認書種別を追加し古物台帳出力対象とする,8.9,4.45
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,SCMOne_M00403,古物台帳印字レイアウトに証明書発行元項目を追加し印字可能とする,8.9,4.45
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,DWH_M00853,b_scm_scmone下取登録情報テーブルに証明書発行元項目を追加し連携する,1.1,0.48
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,DWH_M00853,既存マート抽出ロジックに証明書発行元を追加しレポート出力可能とする,1.1,0.62
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,DWH_M00853,本件がDWH追加要件であることをメタ情報として管理し抽出定義書に反映する,1.1,0
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,Web情変_M00019,記載なし,4.7,4.7
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,CCOC_M00321,記載なし,6.66,6.66
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,COP_M00365,記載なし,0.15,0.15
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,Veritas_M00413,記載なし,0.3,0.3
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,OLS_M00494,上記各OLSに含めた内容以外の改修記載なし,3.5,3.5
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,審査PF_M00555,記載なし,1.6,1.6
2025012200001,健康保険証の終了と 資格確認書の取り扱い対応,NFA_M00632,記載なし,4.6,4.6
2025012200011,【店頭スマホサポート定額S】12ヶ月特典照会機能実装,CindyM_M00648,継続利用特典案内SMS送信時のサービス名称表記を「店頭スマホサポート定額／定額S」に変更し定額S加入者にも同一文面を配信する制御を追加,0.4,0.4
2025012800004,【不正対策】使用者の本確読込必須化とICチップ読取導入,DWH_M00853,使用者確認書類および家族確認書類の書類区分コード21と種別コードを格納する項目を既存マートに利用,0.4,0.13
2025012800004,【不正対策】使用者の本確読込必須化とICチップ読取導入,DWH_M00853,使用者確認書類で新規に追加される書類種別について「その他」扱いで取り込むロジックを設定,0.4,0.13
2025012800004,【不正対策】使用者の本確読込必須化とICチップ読取導入,DWH_M00853,使用者ICチップ情報の後続連携（テキスト項目）はPh2検討とし、現行仕様を維持,0.4,0.04
2025012800004,【不正対策】使用者の本確読込必須化とICチップ読取導入,DWH_M00853,本案件に関する役員速報・分析用にデータ抽出要件を営業支援1課の提示内容に従い設定,0.4,0.1
2025012800004,【不正対策】使用者の本確読込必須化とICチップ読取導入,CCOC_M00321,使用者本人確認書類・家族確認書類の画像データを申込番号単位で画面表示し目検審査可能とする,3,1.05
2025012800004,【不正対策】使用者の本確読込必須化とICチップ読取導入,CCOC_M00321,複数同時申込時の画像紐付け高度化要件をPh2へ先送りし、現行の1回線目連携仕様を継続利用,3,1.95
2025020500015,【かんてつ全社施策】3月分対応案件,Similis_M00817,かんたん手続き上で新規追加付属品を選択可能とする画面制御を追加,0.23,0.23
2025030500018,【店頭スマホサポート定額】量販チャネル追加,MARS_M00306,取次店付加情報マスタに種別A003を新設し付加情報フラグ設定値2～4を保持する,0.32,0.04
2025030500018,【店頭スマホサポート定額】量販チャネル追加,MARS_M00306,A003レコードの有効開始日・有効終了日に基づき現在有効データのみ参照するロジックを追加する,0.32,0.05
2025030500018,【店頭スマホサポート定額】量販チャネル追加,MARS_M00306,量販チャネルコードでA003設定値2～4に応じ店頭スマホサポート受付可否を制御する,0.32,0.05
2025030500018,【店頭スマホサポート定額】量販チャネル追加,MARS_M00306,量販チャネルコードで継続特典引換履歴・サポート履歴の照会条件にA003設定値2～4を適用する,0.32,0.05
2025030500018,【店頭スマホサポート定額】量販チャネル追加,MARS_M00306,継続特典引換店舗表示でA003設定値変更時はソフトバンク等表示に固定するロジックを追加する,0.32,0.04
